Work Order Number,Customer Number,Memo (Main),Name,Address,City,State,Zip,FixedTime,Weight,Total Weight NH,OrderDate,Quantity,Total Quantity,EqCode,Open1,Close1,Pattern1,Longitude,Latitude,OrderType,Filler,Shipment Date,Standing Appointment,Seq,County,Rt,Food Pallets, Pet Food Pallets,Chemical Pallets,Delivery Instructions,Total Case Cube,Static Appointment
973996,4026,- None -,Mobile Pantry @ Travers Park,76-9 34th Avenue,Flushing,NY,11372,30,1621,1621,1/14/2026,,92, ,0830,1230,W,40.747923,-73.862106,Dry,No,1/14/2026,No,1, ,46,0.69,0,0.17,- None -,56.3,No
973997,4026,- None -,Mobile Pantry @ Travers Park,76-9 34th Avenue,Flushing,NY,11372,30,2848,2848,1/14/2026,,1770, ,0830,1230,W,40.747923,-73.862106,Cold,No,1/14/2026,No,1, ,46,12.13,0,0,- None -,776.41,No
974231,80121,- None -,Part of the Solution (POTS),2759 Webster Avenue,Bronx,NY,10458,30,5311,5311,1/14/2026,,179, ,0830,1230,W,40.865649,-73.886421,Dry,Yes,1/14/2026,Yes,1,Bronx,19,2,0,0,8:00-12:00 -  Requests Stop #1 or 2 - Not able to receive after 12pm,125.51,Yes
974232,80121,- None -,Part of the Solution (POTS),2759 Webster Avenue,Bronx,NY,10458,30,3032,3032,1/14/2026,,116, ,0830,1230,W,40.865649,-73.886421,Cold,Yes,1/14/2026,Yes,1,Bronx,19,2.21,0,0,8:00-12:00 -  Requests Stop #1 or 2 - Not able to receive after 12pm,141.34,Yes
974233,83550,- None -,Part of the Solution,2759 Webster Avenue,Bronx,NY,10458,30,4946,4946,1/14/2026,,176, ,0830,1230,W,40.865649,-73.886421,Dry,Yes,1/14/2026,Yes,1,Bronx,19,1.93,0,0,8:00-12:00 -  Requests Stop #1 or 2 - Not able to receive after 12pm,121.28,Yes
974234,83550,- None -,Part of the Solution,2759 Webster Avenue,Bronx,NY,10458,30,2164,2164,1/14/2026,,86, ,0830,1230,W,40.865649,-73.886421,Cold,Yes,1/14/2026,Yes,1,Bronx,19,1.65,0,0,8:00-12:00 -  Requests Stop #1 or 2 - Not able to receive after 12pm,105.46,Yes
975258,80476,- None -,Unitarian Church of All Souls,1157 Lexington Avenue,New York,NY,10021,30,8393,8393,1/14/2026,,379, ,1230,1630,W,40.775377,-73.95858,Dry,Yes,1/14/2026,Yes,1,Manhattan,65,3.93,0,0,9am - 4:30pm,252.88,Yes
975260,80476,- None -,Unitarian Church of All Souls,1157 Lexington Avenue,New York,NY,10021,30,6514,6514,1/14/2026,,189, ,1230,1630,W,40.775377,-73.95858,Cold,Yes,1/14/2026,Yes,1,Manhattan,65,4.01,0,0,9am - 4:30pm,256.05,Yes
975269,84451,- None -,Community Kitchen and Food Pantry (Pantry),252 West 116th Street,New York,NY,10026,30,6640,6640,1/14/2026,,510, ,0830,1230,W,40.804178,-73.954813,Dry,No,1/14/2026,No,2,Manhattan,15,3.95,0,0,8:30am - 12:30pm,252.4,No
975368,83333,- None -,Pentecost Care Community Outreach,621 East 216th Street,Bronx,NY,10467,30,3289,3289,1/14/2026,,156, ,0830,1230,W,40.882228,-73.866922,Dry,Yes,1/14/2026,Yes,1,Bronx,11,1.7,0,0,Please 8:30-9:30; 12:30-1:30. Call when close to location.,109.36,Yes
975378,85448,- None -,Vets Inc,143-17 Springfield Blvd,Springfield Gardens,NY,11413,30,6330,6330,1/14/2026,,293, ,0830,1230,W,40.668109,-73.756857,Dry,Yes,1/14/2026,Yes,2,Queens,17,3.1,0,0,- None -,197.22,Yes
975379,85448,- None -,Vets Inc,143-17 Springfield Blvd,Springfield Gardens,NY,11413,30,2480,2480,1/14/2026,,83, ,0830,1230,W,40.668109,-73.756857,Cold,Yes,1/14/2026,Yes,2,Queens,17,1.66,0,0,- None -,106.7,Yes
975380,85022,- None -,Taurus Associates,240-08 135th Avenue,Rosedale,NY,11422,30,3992,3992,1/14/2026,,180, ,0830,1230,W,40.672149,-73.734466,Dry,Yes,1/14/2026,Yes,1,Queens,17,1.95,0,0,- None -,123.4,Yes
975381,85022,- None -,Taurus Associates,240-08 135th Avenue,Rosedale,NY,11422,30,1890,1890,1/14/2026,,57, ,0830,1230,W,40.672149,-73.734466,Cold,Yes,1/14/2026,Yes,1,Queens,17,1.2,0,0,- None -,77.44,Yes
